0,1,2,3,4,5
0.6703,-0.0691,1.7184,-0.451,-0.5569999999999999,0.604
0.6703,-0.046,1.7184,-0.541,-0.5569999999999999,0.5369999999999999
0.6703,-0.0691,1.7184,-0.541,-0.46399999999999997,0.5369999999999999
0.6703,-0.0691,1.5862,-0.6320000000000001,-0.5569999999999999,0.5369999999999999
0.6934,-0.0921,1.5862,-0.451,-0.5569999999999999,0.671
0.6703,-0.0691,1.7184,-0.541,-0.5569999999999999,0.5369999999999999
0.6934,-0.0691,1.7184,-0.541,-0.5569999999999999,0.47
0.6934,-0.0691,1.7184,-0.541,-0.5569999999999999,0.47
0.6934,-0.0691,1.7184,-0.541,-0.5569999999999999,0.5369999999999999
0.6934,-0.0691,1.7184,-0.451,-0.5569999999999999,0.604
0.6934,-0.046,1.8506,-0.361,-0.7430000000000001,0.604
0.6934,-0.0691,1.5862,-0.451,-0.5569999999999999,0.671
0.6934,-0.0691,1.454,-0.361,-0.7430000000000001,0.671
0.6703,-0.046,1.454,-0.541,-0.5569999999999999,0.671
0.6703,-0.0691,1.7184,-0.451,-0.65,0.5369999999999999
0.6703,-0.046,1.7184,-0.361,-0.7430000000000001,0.604
0.6703,-0.0921,1.7184,-0.541,-0.5569999999999999,0.604
0.6934,-0.0691,1.7184,-0.451,-0.5569999999999999,0.604
0.6703,-0.0691,1.7184,-0.541,-0.5569999999999999,0.5369999999999999
0.6934,-0.0921,1.5862,-0.451,-0.5569999999999999,0.671
0.6934,-0.0691,1.5862,-0.451,-0.5569999999999999,0.671
0.6934,-0.046,1.5862,-0.451,-0.65,0.671
0.6934,-0.0691,1.7184,-0.451,-0.5569999999999999,0.604
0.6934,-0.0691,1.454,-0.541,-0.5569999999999999,0.671
0.6703,-0.0921,1.7184,-0.541,-0.5569999999999999,0.604
0.6703,-0.046,1.5862,-0.451,-0.65,0.671
0.6703,-0.046,1.7184,-0.451,-0.5569999999999999,0.604
0.6703,-0.046,1.7184,-0.451,-0.65,0.604
0.6934,-0.046,1.7184,-0.541,-0.5569999999999999,0.5369999999999999
0.6934,-0.0691,1.7184,-0.361,-0.5569999999999999,0.604
0.6934,-0.0691,1.7184,-0.361,-0.5569999999999999,0.604
0.6703,-0.0921,1.7184,-0.361,-0.7430000000000001,0.604
0.6934,-0.0691,1.5862,-0.451,-0.65,0.604
0.6934,-0.0691,1.5862,-0.451,-0.5569999999999999,0.671
0.6703,-0.0921,1.5862,-0.361,-0.7430000000000001,0.671
0.6703,-0.046,1.5862,-0.451,-0.65,0.671
0.6934,-0.0691,1.7184,-0.541,-0.5569999999999999,0.5369999999999999
0.6703,-0.046,1.7184,-0.451,-0.5569999999999999,0.604
0.6934,-0.0691,1.5862,-0.451,-0.5569999999999999,0.671
0.6934,-0.0691,1.5862,-0.451,-0.5569999999999999,0.671
