x,y,z,3,4,5
0,-0.6219,4.90348,0,0,0
0,-0.35241,5.115,10.836,0,0
0,0,5.00924,10.023,0,0
0,0,5.00924,10.926,0,0
0,0,4.79772,12.281,0,0
0,0,4.8506,14.177,0,0
0,0,4.8506,13.996,0,0
0,0,4.74484,12.1,0,0
0,0,4.63912,11.107,0,0
0,0,4.74484,12.642,0,0
0,0,4.74484,0,0,0
0,0,4.74484,0,0,0
0,0,4.692,0,0,0
0,0,4.74484,0,0,0
