0,1,2
0,0,6.7415
0,1.0134,7.0059
0,1.2898,6.7415
0,1.3359,6.2128
0,1.3129,5.8162
0,1.382,6.0806
0,1.3589,6.0806
0,1.1516,5.8162
0,1.2438,6.0806
0,1.0134,5.5518
0,0,6.0806
0,0,5.5518
0,0,5.1553
0,-1.6123,6.2128
0,-1.8196,6.6093
0,-1.7275,6.6093
0,-1.5893,6.0806
0,-1.4511,6.7415
0,-1.382,5.8162
0,-1.382,6.4771
0,0,5.684
0,0,5.8162
0,0,5.684
0,0,5.4196
0,-1.0595,5.8162
0,0,5.2875
0,0,5.5518
0,0,5.684
0,0,5.684
0,0,5.0231
0,0,4.8909
0,0,4.7587
0,0,4.8909
0,0,4.7587
0,0,4.4943
0,0,4.4943
0,0,4.4943
0,0,4.3621
0,0,4.3621
0,0,4.23
0,0,4.3621
0,0,4.3621
0,0,4.3621
0,0,4.23
0,0,4.23
0,0,4.3621
0,0,4.6265
0,0,4.23
0,0,4.7587
0,0,4.8909
0,0,4.8909
0,0,4.7587
0,0,5.0231
0,0,5.2875
0,0,5.0231
0,0,5.1553
0,0,5.0231
0,0,5.4196
0,0,5.0231
0,0,5.5518
0,0,4.7587
0,0,5.684
0,0,4.6265
0,0,5.4196
0,0,5.0231
0,0,5.5518
0,0,4.6265
0,0,4.8909
0,0,4.4943
0,0,4.8909
0,-1.6123,5.1553
0,-1.6814,5.9484
0,-1.2207,5.2875
0,-1.0365,5.5518
0,-1.3589,6.2128
0,-1.5432,5.9484
0,0,5.4196
0,0,6.2128
0,0,5.684
0,0,5.5518
0,0,5.2875
0,0,5.2875
0,0,4.7587
0,0,5.2875
0,0,5.1553
0,0,4.7587
0,0,4.7587
0,0,4.4943
0,0,4.4943
0,0,4.3621
0,0,4.23
0,-1.0134,4.23
0,0,4.23
0,0,4.23
0,0,4.0978
0,0,4.23
0,0,4.0978
0,0,4.23
0,0,4.23
0,0,4.3621
0,0,4.23
0,0,4.23
0,0,4.3621
0,0,4.3621
0,0,4.3621
0,0,4.6265
0,0,5.2875
