0,1,2,3,4,5
0.7628,0.1382,1.8506,-1.173,-0.7430000000000001,0.671
0.7859,0.1151,1.7184,-1.173,-0.836,0.671
0.7859,0.1382,1.7184,-1.173,-0.836,0.671
0.7628,0.1612,1.8506,-1.083,-0.836,0.604
0.7859,0.1382,1.8506,-1.083,-0.9289999999999999,0.5369999999999999
0.7628,0.1382,1.8506,-1.173,-0.836,0.5369999999999999
0.7628,0.1382,1.8506,-1.083,-0.9289999999999999,0.604
0.7859,0.1612,1.8506,-1.083,-0.9289999999999999,0.5369999999999999
0.7628,0.1382,1.7184,-1.083,-0.7430000000000001,0.671
0.7628,0.1612,1.7184,-1.173,-0.836,0.604
0.7628,0.1612,1.8506,-1.083,-0.836,0.671
0.7628,0.1382,1.7184,-1.173,-0.836,0.671
0.7628,0.1382,1.8506,-1.083,-0.9289999999999999,0.604
0.7628,0.1612,1.8506,-1.083,-0.836,0.5369999999999999
0.7859,0.1612,1.8506,-1.083,-0.9289999999999999,0.604
0.7628,0.1382,1.7184,-1.173,-0.836,0.604
0.7859,0.1842,1.8506,-1.083,-0.836,0.604
0.7628,0.1382,1.8506,-1.173,-0.7430000000000001,0.604
0.5779,0.0691,2.3793,-1.173,-0.27799999999999997,0.738
0.4623,0.046,2.5115,-1.3539999999999999,-0.092,0.806
0.4623,0.1382,2.3793,-1.444,-0.092,0.873
0.5547,0.1612,2.2471,-1.3539999999999999,-0.27799999999999997,0.806
0.6241,0.1382,2.115,-1.2640000000000002,-0.46399999999999997,0.738
0.6703,0.1382,1.9828,-1.083,-0.65,0.671
0.7165,0.1382,1.8506,-1.173,-0.7430000000000001,0.671
0.7397,0.1151,1.8506,-1.173,-0.7430000000000001,0.671
0.7397,0.1151,1.8506,-1.173,-0.7430000000000001,0.671
0.7165,0.1151,1.8506,-1.173,-0.7430000000000001,0.738
0.7397,0.1382,1.8506,-1.083,-0.836,0.671
0.7397,0.1382,1.8506,-1.083,-0.836,0.671
0.7397,0.1151,1.8506,-1.173,-0.7430000000000001,0.671
0.7628,0.1151,1.8506,-1.083,-0.9289999999999999,0.671
0.7165,0.1151,1.8506,-1.083,-0.836,0.738
0.7397,0.1151,1.8506,-1.173,-0.7430000000000001,0.738
0.7628,0.1151,1.7184,-1.083,-0.7430000000000001,0.671
0.7397,0.1151,1.8506,-1.083,-0.9289999999999999,0.604
0.7397,0.1151,1.8506,-1.173,-0.7430000000000001,0.604
0.7397,0.1151,1.8506,-1.083,-0.836,0.671
0.7397,0.1151,1.7184,-1.083,-0.7430000000000001,0.671
0.7397,0.1382,1.8506,-1.083,-0.836,0.604
0.7397,0.1151,1.8506,-1.083,-0.836,0.604
0.7628,0.1151,1.8506,-1.083,-0.836,0.671
0.8552,0.0691,2.115,-1.2640000000000002,0.092,0.604
0.9246,0.0691,2.9081,-1.806,1.5790000000000002,0.604
0.9246,0.0691,2.9081,-1.806,1.5790000000000002,0.604
1.3638,-0.1382,3.9656,-2.167,4.6450000000000005,0.201
1.3869,-0.1842,3.8334,-2.076,3.995,0.067
1.3407,-0.1382,3.569,-1.896,3.345,0.201
1.2944,-0.0921,3.4368,-1.896,3.1590000000000003,0.335
1.3407,-0.0921,3.569,-2.076,3.4379999999999997,0.268
1.3407,-0.0691,3.7012,-2.076,3.809,0.268
1.2482,-0.5758,3.8334,-1.535,3.809,-0.201
1.1789,-0.8522,3.9656,-1.2640000000000002,3.995,-0.5369999999999999
1.2944,-1.1056,3.9656,-1.2640000000000002,5.202999999999999,-0.806
1.2944,-1.1747,4.23,-1.2640000000000002,5.575,-1.007
1.3176,-1.2668,4.3621,-1.3539999999999999,5.760999999999999,-1.007
1.3407,-1.2898,4.3621,-1.3539999999999999,5.946,-1.0739999999999998
1.3638,-1.1747,4.3621,-1.535,6.039,-0.94
1.3176,-1.1516,4.4943,-1.444,6.039,-0.806
1.3176,-1.2207,4.8909,-1.535,6.783,-1.007
1.3407,-1.405,5.1553,-1.444,7.061,-1.0739999999999998
1.3407,-1.6814,5.2875,-1.083,7.34,-1.343
1.3638,-1.9348,5.5518,-0.903,7.805,-1.813
1.4331,-1.9808,5.684,-0.993,8.176,-1.88
1.4563,-2.096,5.8162,-0.993,8.548,-1.947
1.4794,-2.1881,6.0806,-0.903,8.827,-2.015
1.4794,-2.2803,6.345,-0.903,9.106,-2.149
1.4794,-2.1881,6.4771,-0.993,9.291,-2.015
1.5025,-2.2112,6.4771,-0.903,9.477,-1.88
1.4331,-2.3954,6.4771,-0.722,9.384,-1.88
1.2944,-2.7179,6.6093,-0.18,9.106,-2.2159999999999997
1.2251,-2.8331,6.6093,0.0,9.013,-2.4179999999999997
1.0633,-2.9022,6.6093,0.18,8.641,-2.485
0.9708,-2.9252,6.4771,0.18,8.455,-2.4179999999999997
0.9477,-2.9482,6.6093,0.27,8.455,-2.3499999999999996
0.9246,-2.9943,6.6093,0.361,8.455,-2.5519999999999996
0.9246,-2.9943,6.6093,0.361,8.455,-2.5519999999999996
0.809,-3.0173,6.6093,0.451,8.083,-2.5519999999999996
0.7165,-3.0404,6.7415,0.541,8.176,-2.4179999999999997
0.5779,-3.1325,6.8737,0.6320000000000001,8.083,-2.5519999999999996
0.4854,-3.1786,6.8737,0.722,7.9910000000000005,-2.485
0.4392,-3.2016,6.8737,0.722,7.898,-2.3499999999999996
0.4623,-3.2477,7.0059,0.8119999999999999,8.083,-2.4179999999999997
0.5316,-3.4319,7.2703,0.903,8.641,-2.485
0.4623,-3.5471,7.5346,0.993,8.641,-2.753
0.4623,-3.5471,7.5346,0.993,8.641,-2.753
0.4854,-3.6162,7.6668,1.083,8.734,-2.888
0.416,-3.6623,7.6668,1.173,8.641,-2.888
0.3929,-3.6853,7.6668,1.2640000000000002,8.641,-2.955
0.3929,-3.7544,7.799,1.2640000000000002,8.734,-2.888
0.4392,-3.9617,8.1956,1.444,9.291,-2.955
0.4392,-4.0078,8.1956,1.2640000000000002,9.477,-3.089
0.601,-4.169,8.46,1.3539999999999999,9.663,-3.1559999999999997
0.6241,-4.2381,8.46,1.444,9.849,-3.291
0.601,-4.2842,8.5922,1.444,9.942,-3.291
0.5779,-4.3303,8.7243,1.444,10.035,-3.291
0.5779,-4.3994,8.9887,1.3539999999999999,10.128,-3.3579999999999997
0.5316,-4.4685,8.9887,1.444,10.128,-3.291
0.5779,-4.6527,9.1209,1.625,10.128,-3.291
0.6472,-4.6988,9.2531,1.625,10.221,-3.4250000000000003
0.6241,-4.6758,9.2531,1.625,10.314,-3.3579999999999997
0.6703,-4.7679,9.2531,1.535,10.128,-3.492
0.5779,-4.837,9.1209,1.625,9.942,-3.4250000000000003
0.3698,-5.0443,9.5175,1.806,9.849,-3.492
0.3005,-5.0904,9.6497,1.806,10.035,-3.492
0.2773,-5.0673,9.7818,1.806,10.128,-3.4250000000000003
0.3467,-5.1134,9.7818,1.806,10.128,-3.3579999999999997
0.4854,-5.2286,9.7818,1.715,10.314,-3.4250000000000003
0.5779,-5.2746,9.914,1.715,10.405999999999999,-3.492
0.5085,-5.3207,9.7818,1.715,10.221,-3.6270000000000002
0.3929,-5.3668,9.7818,1.715,10.035,-3.559
0.208,-5.3437,9.7818,1.625,9.57,-3.6270000000000002
0.0693,-5.2746,9.6497,1.715,9.013,-3.492
-0.0693,-5.2746,9.6497,1.625,8.641,-3.291
-0.208,-5.2516,9.5175,1.806,8.083,-3.224
-0.2311,-5.2746,9.5175,1.715,7.898,-3.224
-0.2542,-5.2286,9.3853,1.625,7.712,-3.089
-0.1155,-5.2286,9.2531,1.535,7.619,-3.0220000000000002
-0.0462,-5.1825,9.1209,1.3539999999999999,7.526000000000001,-2.955
-0.0462,-4.9522,8.7243,1.2640000000000002,6.8759999999999994,-2.821
-0.0693,-4.9061,8.5922,1.2640000000000002,6.5969999999999995,-2.686
-0.0924,-4.8831,8.5922,1.173,6.504,-2.619
-0.1618,-4.86,8.7243,1.173,6.411,-2.485
-0.1618,-4.86,8.5922,1.173,6.2250000000000005,-2.485
-0.1618,-4.7679,8.5922,1.083,6.039,-2.4179999999999997
-0.0693,-4.5606,7.9312,1.2640000000000002,5.389,-2.2159999999999997
-0.0,-4.5145,7.799,1.173,5.482,-2.149
-0.0,-4.4224,7.799,1.083,5.017,-2.149
-0.0231,-4.3303,7.6668,0.903,4.924,-2.149
0.0462,-4.3072,7.6668,0.8119999999999999,5.017,-2.082
0.1386,-4.169,7.2703,0.722,4.924,-1.947
0.1618,-4.0308,7.1381,0.541,4.6450000000000005,-1.947
0.1155,-3.9387,6.8737,0.451,4.367,-1.813
0.1155,-3.8005,6.7415,0.541,4.181,-1.746
0.2542,-3.8465,6.7415,0.361,4.46,-1.746
0.4854,-3.8696,6.7415,0.541,4.924,-1.88
0.5547,-3.8465,6.7415,0.451,5.017,-1.813
0.4854,-3.8465,6.7415,0.451,4.6450000000000005,-1.746
0.416,-3.8005,6.7415,0.27,4.367,-1.746
0.5085,-3.7544,6.6093,0.361,4.553,-1.746
0.6241,-3.7544,6.4771,0.361,4.553,-1.746
0.4623,-3.6162,6.345,0.27,4.274,-1.6789999999999998
0.5085,-3.6623,6.4771,0.361,4.274,-1.544
0.5547,-3.7083,6.4771,0.27,4.46,-1.6789999999999998
0.6241,-3.6853,6.6093,0.27,4.553,-1.612
0.6472,-3.6392,6.4771,0.27,4.6450000000000005,-1.544
0.6934,-3.5932,6.345,0.18,4.7379999999999995,-1.544
0.7165,-3.5701,6.345,0.09,4.6450000000000005,-1.4769999999999999
0.6934,-3.6162,6.4771,0.18,4.6450000000000005,-1.544
0.601,-3.5701,6.6093,0.0,4.6450000000000005,-1.4769999999999999
0.5085,-3.4319,6.8737,-0.27,4.553,-1.612
0.4854,-3.4319,6.8737,-0.18,4.6450000000000005,-1.6789999999999998
0.4854,-3.6853,6.7415,0.09,4.46,-1.813
0.6472,-3.7544,6.6093,0.18,4.553,-1.746
0.7397,-3.8235,6.7415,0.27,4.8309999999999995,-1.746
0.601,-3.9617,7.0059,0.451,4.8309999999999995,-1.813
0.5085,-3.9617,7.1381,0.361,4.6450000000000005,-1.746
0.4392,-4.0078,7.1381,0.451,4.46,-1.6789999999999998
0.4854,-4.0538,7.1381,0.6320000000000001,4.553,-1.746
0.4854,-4.169,7.2703,0.6320000000000001,4.7379999999999995,-1.813
0.5085,-4.2381,7.6668,0.722,4.8309999999999995,-1.813
0.5779,-4.3763,7.799,0.722,5.295999999999999,-1.88
0.6703,-4.4454,7.9312,0.722,5.482,-2.015
