0,1,2
0.0,0.0,0.0
3.7717944507846824e-05,1.1986442621036985e-05,2.1784791074921373e-05
6.139236371964785e-05,1.3617424143603784e-05,2.1768962180885865e-05
0.00011324712535262904,1.3215214132742402e-05,2.026273891764241e-05
0.00013983759492305125,1.3547558755249156e-05,2.4891905361954514e-05
0.00017825097725193473,1.3257325990707614e-05,2.596724291947794e-05
0.00021898268990298676,1.353940593162406e-05,2.6685882169346086e-05
9.385741213719711e-05,1.3299436584475189e-05,3.212200396092157e-05
6.92386207916229e-05,1.3580754355189129e-05,3.245625043021505e-05
5.660065280171267e-05,1.376980479562917e-05,4.402295946889012e-05
5.689767091553222e-05,1.3137689655877694e-05,3.166132728495086e-05
4.723926102776943e-05,1.4121572676728534e-05,2.0123009834094317e-05
5.836411516369822e-05,1.335247488668756e-05,2.619592311233987e-05
0.00030784167472461374,1.3106083133607172e-05,2.5190974131819034e-05
0.00022938104928186932,1.344562132885585e-05,2.861357652406582e-05
0.0003074379516544923,1.32775564691201e-05,2.5954264373844183e-05
0.00012250648063343305,1.3002490345286332e-05,2.7064843651771754e-05
0.0001276309771964179,1.3012669305680903e-05,2.5214569890898987e-05
7.437876664255327e-05,1.3684602649277622e-05,2.6470128156006466e-05
8.73075290894576e-05,1.4628280522757109e-05,2.9409323214935057e-05
0.00019375818661728771,1.335084012794141e-05,3.187073024985665e-05
0.0004454941277663238,1.3668139518312471e-05,3.5511037102651246e-05
0.000268426793255685,1.3154402426494016e-05,4.281940969203646e-05
0.0001651487087704595,1.3298062156081868e-05,3.664416410697471e-05
8.058659089726916e-05,1.3686509346371167e-05,4.2200307935402745e-05
0.00011541071965780247,1.3301839354653566e-05,3.719880058383751e-05
7.234445601937978e-05,1.3411270540473197e-05,4.8257236308906215e-05
4.81086616557036e-05,1.4286150637019546e-05,3.354549702287102e-05
4.528353806762197e-05,1.703874025832164e-05,4.163360156589135e-05
4.6782456706502274e-05,1.3235053702373988e-05,3.660900694037683e-05
4.459315271333253e-05,1.352069349991325e-05,3.6117402852298144e-05
4.3190608521399555e-05,1.34862705795058e-05,3.413134801434126e-05
3.949869014256535e-05,1.4385477831186933e-05,3.001776589697247e-05
5.677688350232302e-05,1.585571552681131e-05,2.6074392893917776e-05
9.632597065547089e-05,1.2536418400515004e-05,2.3690046568063396e-05
6.815294906459713e-05,1.3512320358586293e-05,2.522635804504958e-05
4.412376801866458e-05,1.3154798413914648e-05,2.4109449250531157e-05
4.20217316196414e-05,1.405278357452744e-05,2.377977743037718e-05
4.7711388506996855e-05,1.3355257788134623e-05,2.173813515717882e-05
5.221621018609568e-05,1.3759489786480116e-05,2.3247246455042616e-05
5.4259047256994816e-05,1.3440469838315038e-05,2.0423484804155124e-05
4.351250252604188e-05,1.3357001896565635e-05,2.0487726300757457e-05
4.547698348687845e-05,1.311358040311461e-05,2.2212434616726285e-05
4.4029781738004206e-05,1.6784524665558463e-05,2.7298227243335306e-05
4.8190205000651075e-05,1.6001200742508104e-05,2.6797740980555317e-05
4.700431726789134e-05,1.877374905461693e-05,2.8144297979082466e-05
5.186122469012844e-05,1.9058468641581782e-05,3.33326963067293e-05
7.490182491476094e-05,2.240187951137784e-05,3.1999760538070635e-05
7.515460034369425e-05,2.5816981482051914e-05,3.1299061713525586e-05
0.00019680113992421867,1.6679670904622413e-05,2.5394076071094673e-05
8.958491034775306e-05,2.018545403689842e-05,3.0192774861674822e-05
8.158482765503905e-05,1.9054032598688764e-05,3.099687162076315e-05
9.519889115722435e-05,1.7903264354401926e-05,2.7982831173005708e-05
6.76369773600527e-05,1.9309986879783027e-05,2.462193182146244e-05
4.3017652879910885e-05,1.5464518747325684e-05,3.1667256774312594e-05
5.302658904192015e-05,1.870578699032066e-05,2.6003833513073003e-05
6.592793786005303e-05,1.8968235965530768e-05,3.044077581456861e-05
4.305727051814756e-05,1.7612492703804605e-05,2.6366063539597918e-05
4.5013168155492166e-05,1.9980572641937756e-05,2.8557625470000403e-05
4.232049641359481e-05,1.639634697944814e-05,2.8625227229923667e-05
4.4157967986393485e-05,1.905755577595869e-05,2.386286819472616e-05
4.457376031496096e-05,1.3907564415198692e-05,2.745983927994189e-05
4.191751798316545e-05,1.5784511277523448e-05,2.61093237011778e-05
4.231694772101946e-05,1.6054656568762482e-05,2.6612428650594212e-05
4.4220113309165754e-05,1.726286490438156e-05,2.8036662441994763e-05
4.33722049183416e-05,1.5756580592949375e-05,2.8450548482865656e-05
4.317046928690616e-05,1.5019715860109529e-05,3.259694115310019e-05
4.3715086903830524e-05,1.439482968933703e-05,2.2221305317327023e-05
4.4562081627645965e-05,1.467662803491976e-05,2.9362377514434712e-05
4.529953505389983e-05,1.3856547217834247e-05,2.7766290341588728e-05
6.290037761118583e-05,1.5130044193476521e-05,2.6964690767883325e-05
4.5700531160832724e-05,1.4135543925135607e-05,2.669482966382475e-05
4.403949989892908e-05,1.4681369477926865e-05,2.2122184140869195e-05
4.010286066659319e-05,1.4175872006205737e-05,2.2387990075003472e-05
4.5132982386348885e-05,2.3277660816303225e-05,2.0111795043931126e-05
7.101404136605538e-05,4.610367380109892e-05,2.4815989548727656e-05
6.252070068910598e-05,2.9714076067763884e-05,2.1661804441137633e-05
4.37464226024531e-05,3.7197987492803006e-05,1.9076162031694822e-05
5.2491141123027777e-05,3.80270685931805e-05,2.5675214157558912e-05
3.746830972524151e-05,1.5565619484867454e-05,2.434267468345297e-05
0.0004826845592015161,1.8985114588758735e-05,2.2586688698211788e-05
0.00039886695203193766,1.4966550304720272e-05,3.147458921226587e-05
0.00011502181922310229,1.3482190140692297e-05,3.388148725149698e-05
0.00020051375343300038,1.5005768820977038e-05,3.1825174162634084e-05
0.0007102537253116737,1.3929015560165681e-05,2.792632887562263e-05
4.0807464443695096e-05,1.5900823091001827e-05,2.1212408607880207e-05
4.802511023228817e-05,3.567301025704239e-05,1.9116588573169224e-05
0.00033333683271052905,3.713520551009708e-05,1.8279479559453192e-05
0.0004379173427605565,4.0124064313715734e-05,2.1070684933874872e-05
0.00010162747832595187,4.3425264274361555e-05,2.127656088362073e-05
6.66408666955931e-05,4.060204851356275e-05,1.8019712857757498e-05
6.886870481707774e-05,4.43689637315714e-05,1.784744692741924e-05
0.0005501212494266383,1.704087875577187e-05,3.2385929800398116e-05
0.00435472536168163,1.447280258545902e-05,2.5557529210402662e-05
0.001568241064491076,1.433520893158402e-05,2.742368015518082e-05
0.0002865921186912601,1.3192060194313626e-05,2.979947689894402e-05
0.00010931875563414906,1.4518182883875852e-05,2.557290862007733e-05
4.920811869084218e-05,1.3009984748748593e-05,1.9631240352566692e-05
5.641156771957867e-05,1.910886920690302e-05,1.958785759143211e-05
0.0001383164901735512,2.50443920094634e-05,1.913538125336345e-05
