0.43342317,-55.418419,-24.389267,3.5367,-91.8704,-1.0595
0.53031032,-58.777038,-24.532998,2.5196,-78.6516,0
0.66844002,-47.491704,-24.772275,0,0,11.2633
0.82598302,-0.110605,-24.704364,-1.3176,-5.1553,1.8426
0.86668199,1.0623723,-24.816023,-1.0402,-5.5518,3.2477
0.89240415,-2.0862187,-24.995406,-1.1095,-6.345,3.3859
0.90280946,-18.003332,-25.26458,1.7568,-60.5419,7.6931
0.92450993,-31.786262,-25.236886,2.4271,-62.5247,13.4746
0.97084643,-42.018261,-25.009795,2.5658,-83.2782,7.7392
1.05085686,-52.32665,-24.807839,2.7045,-93.0601,4.4454
1.22686224,-62.966506,-25.000428,0,-36.6159,5.551
1.31073127,-32.811535,-25.084303,-1.9417,9.2531,6.7718
1.34490259,-8.8296828,-25.108461,-2.3347,-8.5922,-1.428
1.34219577,0.32358392,-25.479111,-1.8492,-5.684,2.2342
1.29395655,-2.2918806,-25.782457,-1.595,-4.4943,2.6949
1.23919954,-6.1035777,-26.018158,0,-39.7884,2.2803
1.18894525,-25.514042,-25.988564,2.3116,-51.9497,15.2942
1.20235264,-33.562142,-25.505575,2.0342,-54.1969,15.824
1.24389884,-39.871767,-25.079144,2.404,-82.0885,4.7218
1.37419277,-52.343478,-25.053426,0,-25.38,3.3859
1.43163285,-23.855099,-25.172598,-2.4271,23.1328,8.2229
1.44768311,5.97747274,-25.218685,-2.0573,2.3793,-2.5567
1.40854395,4.40469924,-25.641275,-1.6643,-2.5115,1.7505
1.37379497,0.00579266,-25.861487,0,-7.2703,2.5797
1.33451069,-5.2738483,-26.10056,0,-30.4031,1.7044
1.3006533,-19.050217,-26.309467,1.1326,-56.1797,7.4167
1.29843801,-45.40014,-26.419949,2.4734,-82.2207,4.5836
1.33617753,-54.805663,-26.509515,2.7739,-91.7382,1.1747
1.40504155,-60.293677,-26.707395,2.6352,-92.9279,-1.2668
1.55091909,-32.902871,-27.139619,-1.4794,6.7415,7.7622
1.59844716,-8.2955004,-27.291189,-1.2944,-7.2703,0
1.6190322,-2.6481718,-27.538972,-1.1095,-5.4196,2.3954
1.63886935,-3.5843609,-27.923999,0,-13.4831,2.5567
1.65072298,-14.212246,-28.131102,1.3869,-45.6047,8.6836
1.6747726,-25.583346,-28.080742,2.7739,-66.0938,9.1673
1.73611829,-41.673786,-27.948901,2.8201,-73.8929,8.4302
1.90143342,-53.883467,-27.850195,2.9819,-82.6173,2.9482
2.00614867,-53.152419,-27.923849,0,-30.4031,10.5032
2.10766207,-26.784305,-27.765079,-1.2944,22.604,16.8144
2.2387531,-0.2786662,-27.439551,0,-11.3681,3.1786
2.28933812,-4.248741,-27.552039,0,-10.9715,2.81
2.32656411,-7.2666661,-27.717022,0,-26.1731,1.7275
2.38782713,-25.259512,-27.797551,2.404,-69.7951,6.3342
2.43766024,-39.704157,-27.77032,2.2884,-84.4679,1.6353
2.51084694,-53.08309,-27.896594,2.8201,-92.267,0
2.64649397,-61.613336,-28.238657,2.7739,-91.4738,0
2.83872005,-50.553841,-28.6851,0,-24.1903,4.5836
2.93477664,-26.676973,-28.87185,-1.5256,-13.4831,1.2438
2.99337782,-10.213218,-29.101503,-1.7105,-5.1553,1.5202
3.01865464,-3.2208406,-29.571691,-1.1789,-12.4256,2.096
3.011868,-13.166257,-29.812489,1.6874,-88.037,2.5567
3.02856677,-40.388326,-29.926898,1.8492,-51.2888,20.638
3.11864337,-42.324675,-29.246573,2.196,-79.4448,4.4224
3.18267806,-49.601322,-29.120958,2.0342,-97.1579,0
3.28563748,-52.689729,-29.241779,0,-23.5294,5.3668
3.35626266,5.69621062,-28.947602,-3.19,41.6391,16.1695
3.33223438,24.2718767,-28.483164,-2.3116,11.1037,2.9482
3.28544945,14.7817906,-28.381387,-1.9879,-5.2875,1.9117
3.18262085,-3.3653245,-28.574604,0,-9.5175,2.6488
3.1207062,-10.772243,-28.774222,0,-49.306,1.5893
3.0818569,-26.582236,-28.956686,1.2482,-66.0938,6.8639
3.0497248,-38.705526,-28.830624,1.1095,-57.105,8.4763
3.05881331,-40.931309,-28.716252,1.4331,-72.3066,5.1134
3.08979078,-47.663558,-28.759097,1.41,-61.4672,3.4319
3.12033159,-39.172217,-28.793868,0,0,12.0465
3.16052049,-5.9302993,-28.668088,-1.2482,-14.4084,0
3.16582039,-6.3042865,-28.865173,0,-10.8393,1.8887
3.1634946,-7.5314459,-29.091389,0,-13.7475,2.0499
3.158277,-18.167268,-29.436066,1.0171,-60.5419,3.455
3.167813,-36.416051,-29.590061,2.1035,-88.1692,0
3.19460471,-50.782492,-29.798874,1.8723,-85.1288,0
3.31129404,-57.905667,-30.521868,1.3869,-69.5307,0
3.37639136,-41.512507,-30.816197,0,-9.3853,3.5471
3.42595413,-13.965092,-31.10204,-1.0633,-6.2128,1.3129
3.44649522,-3.5535759,-31.597368,-1.0171,-8.7243,2.5797
3.44708237,-5.394497,-31.804571,0,-23.9259,2.2803
3.44837088,-20.152873,-32.013169,1.1789,-69.6629,6.5415
3.48102086,-36.797864,-31.622815,1.1558,-56.7085,11.4015
3.51084137,-39.392119,-31.281898,1.41,-78.6516,6.933
3.55789229,-50.837511,-31.161005,1.4794,-86.3185,4.3072
3.6239821,-5.0841786,-30.530883,-2.7045,41.1103,19.5093
3.60515282,17.2386596,-29.994045,-1.7799,-6.2128,0
3.56521663,8.81963901,-29.913234,-1.595,-3.7012,1.8426
3.48672223,-2.4046516,-30.133348,-1.0864,-12.9543,1.8887
3.43602341,-12.294482,-30.356372,0,-61.2029,0
3.39812054,-29.42439,-30.545276,0,-51.8175,9.8122
3.34014362,-40.735871,-30.530902,1.2944,-76.801,0
3.34473094,-51.319814,-30.737504,1.8723,-94.382,0
3.38376883,-57.558164,-31.103887,0,-63.1857,0
3.43988295,-15.608196,-31.577692,-1.1095,-14.144,0
3.4452393,-7.2035392,-32.007456,0,-12.8222,2.1421
3.46902571,-34.893184,-32.410501,1.6643,-64.2432,9.3746
3.63822265,-50.352179,-32.503302,0,-2.3793,15.5015
3.67866784,-4.8360039,-32.114215,-2.1729,-4.6265,0
3.62922379,1.8602986,-32.340489,-1.2944,-8.5922,1.4741
3.57721126,-8.30458,-32.676688,0,-58.2947,0
3.5532402,-58.635335,-33.135577,2.0804,-106.4111,1.5432
3.59570422,-72.510213,-33.407523,1.9648,-112.0951,0
3.6485127,-73.073076,-33.710903,0,-74.686,0
3.71063849,-23.373273,-34.035144,-1.7568,-2.115,3.2246
3.70230552,-4.2163237,-34.196289,-2.0573,-5.1553,0
3.65282122,-1.3742258,-34.563504,-1.5256,-3.8334,1.7966
3.54844765,-11.852458,-35.070816,0,-74.9504,1.428
3.51102456,-42.274592,-35.227896,2.1497,-93.9854,8.6145
3.54287796,-70.126614,-35.189637,1.595,-115.532,0
3.60353573,-70.741949,-35.408999,0,-36.2194,12.5071
3.65099179,-25.350771,-35.105067,-1.7105,26.5697,23.0335
3.65093609,-1.6266856,-34.520889,0,-10.7072,3.2246
3.65085377,-46.084509,-34.465373,1.5256,-52.3463,28.6997
3.68824508,-53.125017,-33.693472,2.3116,-114.6067,1.0825
3.83189392,-54.001368,-33.962364,0,11.5003,12.2538
3.88665998,-4.9232807,-33.925873,-1.0864,-3.8334,-3.2707
3.9252405,-3.9727833,-34.542974,0,-14.6728,1.3589
3.93918824,-12.202602,-34.939661,0,-44.1506,0
3.97592615,-36.092816,-35.205053,1.0402,-54.99,11.2633
4.01086676,-40.12394,-35.013292,1.4794,-85.5254,3.2937
4.07170236,-56.758892,-35.091153,1.5718,-107.6007,-2.9943
4.16929702,-14.898378,-35.444019,-2.4503,31.1962,14.7184
4.16366528,10.5345723,-35.303673,-1.9648,-12.2934,-3.9847
4.13013756,4.34769154,-35.503187,0,-9.914,1.0825
4.07219811,-7.7807115,-36.008248,0,-30.4031,0
4.04766346,-21.389187,-36.322763,0,-57.5016,4.6067
4.03881404,-31.201939,-36.380678,1.1789,-27.495,21.7436
4.06177047,-36.701581,-35.77402,1.3869,-91.3417,-2.8331
4.08765636,-52.080556,-35.948502,0,-50.8922,2.2342
4.08783192,0.5694138,-36.02289,-2.196,25.2478,7.0252
4.04666573,14.6305651,-36.002089,-1.6181,-10.1784,-4.169
3.96987609,2.51743239,-36.336009,-1.0864,-7.6668,0
3.86083673,-8.3864246,-36.871999,0,-25.6444,1.2668
3.810539,-20.852736,-37.184356,1.0633,-46.9266,8.0386
3.78156631,-28.292435,-37.232588,0,-45.2081,8.1077
3.75333069,-36.905659,-37.256094,1.2251,-74.1573,1.1747
3.7585816,-46.689587,-37.435291,0,-81.692,0
3.77196381,-54.408515,-37.781665,0,-95.1751,-2.3033
3.78120643,-25.967777,-38.286275,-2.0804,5.2875,4.6988
