0,1,2
0.0,0.0,0.0
3.750222944461257e-05,1.186184553489511e-05,1.806097872133705e-05
4.5510914347097754e-05,1.2981509823930538e-05,2.055729978792442e-05
4.540675420628304e-05,1.2943388074972973e-05,2.4569280446726793e-05
5.354465260353436e-05,1.3277649568408378e-05,1.9786549027287493e-05
5.150283299769853e-05,1.261080412746196e-05,2.0659917950354157e-05
4.4050548133469644e-05,1.3855073937065755e-05,1.9159256522698344e-05
4.0467471758347526e-05,1.4440646083357933e-05,1.969981993532599e-05
4.867198540068785e-05,2.1469316217945787e-05,1.9767343262628854e-05
3.614271362494037e-05,1.5783541517606636e-05,1.940314664352627e-05
5.2668570729395016e-05,1.4552525603477307e-05,1.962843977139528e-05
6.846938264231994e-05,1.3129924708863427e-05,1.9459726449895242e-05
5.598818690771168e-05,1.7912205034491535e-05,1.8907747416960775e-05
4.516344909006875e-05,1.3389223103672521e-05,1.9382313171263375e-05
7.24691698707769e-05,1.310758749049512e-05,2.4042285405769803e-05
6.968683831075851e-05,1.3423072759906063e-05,3.7479869206702435e-05
6.207210396951268e-05,1.3171126301685376e-05,2.6705053803937064e-05
4.203000082384279e-05,1.2770074033596756e-05,2.3986545469227848e-05
4.472793089689731e-05,1.2849516290316387e-05,1.9705830736995723e-05
4.36522620566393e-05,1.4886270956986358e-05,1.9091995491180568e-05
4.765590554370647e-05,2.993782074717899e-05,1.9786375651165146e-05
4.059948529288704e-05,3.2222643967975554e-05,1.9000290503754513e-05
4.066447486820834e-05,3.7339534800295834e-05,1.9880690238096577e-05
4.286969733584556e-05,1.7571026945546463e-05,1.857164942975942e-05
4.26917901867796e-05,1.5259700737795257e-05,2.12664267156093e-05
7.400540845878823e-05,1.3809018056178957e-05,2.097087570405165e-05
5.70237540662788e-05,1.280514976883751e-05,1.867522776009878e-05
9.555126678264969e-05,1.3713726648347802e-05,2.0401047109999126e-05
5.057716861081474e-05,1.2163152669018017e-05,2.018583868300894e-05
4.329790311146553e-05,1.353763163763233e-05,1.9655767773656406e-05
4.4762487583511756e-05,2.384321257049571e-05,1.8889475218202278e-05
