0,1,2
0.0,0.0,0.0
2.7522498658072437e-05,0.0,0.0
4.2850240261032015e-05,0.0,0.0
4.2355765544925815e-05,0.0,0.0
4.240200987624121e-05,0.0,0.0
4.2375817847641884e-05,0.0,0.0
4.280975474102888e-05,0.0,0.0
4.234859423377202e-05,0.0,0.0
4.249147159498534e-05,0.0,0.0
4.27508045322611e-05,0.0,0.0
4.245890546371811e-05,0.0,0.0
4.2360445295344104e-05,0.0,0.0
4.198809646368318e-05,0.0,0.0
4.551368237912357e-05,0.0,0.0
4.0593992668434e-05,0.0,0.0
4.248201647271799e-05,0.0,0.0
4.933422226514495e-05,0.0,0.0
4.299929378120737e-05,0.0,0.0
3.566365584632081e-05,0.0,0.0
4.088879815299151e-05,0.0,0.0
4.299951571738348e-05,0.0,0.0
4.285711263946723e-05,0.0,0.0
4.251129139447585e-05,0.0,0.0
4.2557177494018106e-05,0.0,0.0
4.264191817128449e-05,0.0,0.0
4.547062232404642e-05,0.0,0.0
4.627137660691005e-05,0.0,0.0
4.146712167141686e-05,0.0,0.0
5.297059935855941e-05,0.0,0.0
4.2261491981321345e-05,0.0,0.0
4.305268305628829e-05,0.0,0.0
4.85234584910188e-05,0.0,0.0
4.4004588578872016e-05,0.0,0.0
4.111422330026926e-05,0.0,0.0
4.176983136403578e-05,0.0,0.0
4.075848565207707e-05,0.0,0.0
4.152455853727588e-05,0.0,0.0
4.2344152398072765e-05,0.0,0.0
4.08190361213201e-05,0.0,0.0
4.175021806986478e-05,0.0,0.0
4.128735043195775e-05,0.0,0.0
4.552043845365006e-05,0.0,0.0
4.481492081140459e-05,0.0,0.0
4.369146644251032e-05,0.0,0.0
4.842230932794678e-05,0.0,0.0
5.7057437813554656e-05,0.0,0.0
5.047142060959686e-05,0.0,0.0
4.7993611222239e-05,0.0,0.0
4.2331961917625446e-05,0.0,0.0
4.3221962713460015e-05,0.0,0.0
4.1803660615187254e-05,0.0,0.0
4.300018454159726e-05,0.0,0.0
4.229781596222892e-05,0.0,0.0
4.192972388409544e-05,0.0,0.0
4.280569713046134e-05,0.0,0.0
4.319439803111891e-05,0.0,0.0
4.4485950068349213e-05,0.0,0.0
5.577599900490782e-05,0.0,0.0
4.657147778516446e-05,0.0,0.0
4.270858154171719e-05,0.0,0.0
4.870703900337503e-05,0.0,0.0
4.7527418804804714e-05,0.0,0.0
5.717432995751892e-05,0.0,0.0
5.251558079919505e-05,0.0,0.0
4.4833851141561354e-05,0.0,0.0
4.430393963957613e-05,0.0,0.0
4.137086242735677e-05,0.0,0.0
4.1264875162596584e-05,0.0,0.0
4.207032661724952e-05,0.0,0.0
4.252649518093676e-05,0.0,0.0
4.2640538492833005e-05,0.0,0.0
4.553292522381014e-05,0.0,0.0
4.5046597841889026e-05,0.0,0.0
4.987204502754139e-05,0.0,0.0
4.57099366502689e-05,0.0,0.0
5.180114952906934e-05,0.0,0.0
5.669208517348423e-05,0.0,0.0
4.731694461497682e-05,0.0,0.0
4.2621733618943836e-05,0.0,0.0
4.262513035428128e-05,0.0,0.0
4.237514405758702e-05,0.0,0.0
4.263501512468793e-05,0.0,0.0
4.2564947725622916e-05,0.0,0.0
4.284970402295585e-05,0.0,0.0
4.227636563790327e-05,0.0,0.0
4.9936473848077866e-05,0.0,0.0
5.6840467592103036e-05,0.0,0.0
5.676173813640162e-05,0.0,0.0
5.699605153097309e-05,0.0,0.0
7.040539470736463e-05,0.0,0.0
5.9664509354480086e-05,0.0,0.0
5.115682638006547e-05,0.0,0.0
4.2696673026512145e-05,0.0,0.0
4.235692282236414e-05,0.0,0.0
4.26058989160083e-05,0.0,0.0
4.716247042097166e-05,0.0,0.0
5.124040789439732e-05,0.0,0.0
5.482700871695556e-05,0.0,0.0
5.855245350957716e-05,0.0,0.0
6.869447846888477e-05,0.0,0.0
5.385598069096886e-05,0.0,0.0
4.548561359570158e-05,0.0,0.0
4.414310854322423e-05,0.0,0.0
5.221824972139189e-05,0.0,0.0
4.347234542731115e-05,0.0,0.0
4.2604020495673464e-05,0.0,0.0
4.228091470224627e-05,0.0,0.0
4.311171175913842e-05,0.0,0.0
4.206312872156559e-05,0.0,0.0
4.2859281722940065e-05,0.0,0.0
4.2116062507773224e-05,0.0,0.0
4.655749870096315e-05,0.0,0.0
4.3929607965935705e-05,0.0,0.0
4.7666113524371667e-05,0.0,0.0
4.978211078519923e-05,0.0,0.0
5.307780246880611e-05,0.0,0.0
5.5915511129853715e-05,0.0,0.0
5.134081174020366e-05,0.0,0.0
4.9446624618383336e-05,0.0,0.0
4.2396874724772716e-05,0.0,0.0
4.3928406321356305e-05,0.0,0.0
4.2377723960953514e-05,0.0,0.0
5.1105514553455575e-05,0.0,0.0
4.5869175909274415e-05,0.0,0.0
4.775925232507916e-05,0.0,0.0
4.826384197534228e-05,0.0,0.0
6.525182921620853e-05,0.0,0.0
